pos_largura,pos_altura,quadratico,valor
0,0,32,192
32,0,16,128
48,0,16,128
32,16,16,128
48,16,16,128
0,32,16,128
8,32,16,128
16,32,16,128
0,48,16,128
16,48,16,128
32,32,4,0
40,32,8,64
32,40,8,64
40,40,8,64
48,32,16,128
32,48,8,64
40,48,8,64
32,56,8,64
40,56,8,64
48,48,16,128
64,0,16,128
80,0,8,64
88,0,8,64
80,8,8,64
88,8,8,64
64,16,16,128
80,16,16,128
96,0,16,128
96,8,16,128
112,0,16,128
96,16,8,64
104,16,8,64
96,24,8,64
104,24,8,64
112,16,16,128
64,32,16,128
80,32,8,64
88,32,8,64
80,40,8,64
88,40,8,64
64,48,16,128
80,48,8,64
88,48,8,64
80,56,8,64
88,56,4,0
96,32,8,64
104,32,8,64
96,40,8,64
104,40,8,64
112,32,16,128
96,48,16,128
112,48,8,64
120,48,8,64
112,56,8,64
120,56,8,64
128,0,8,64
136,0,8,64
128,8,8,64
136,8,8,64
144,0,8,64
152,0,8,64
144,8,8,64
152,8,8,64
128,16,16,128
144,16,16,128
160,0,16,128
160,8,16,128
176,0,16,128
160,16,16,128
160,24,16,128
176,16,4,0
184,16,8,64
176,24,8,64
184,24,8,64
128,32,8,64
136,32,8,64
128,40,8,64
136,40,8,64
144,32,16,128
128,48,8,64
136,48,8,64
128,56,8,64
136,56,8,64
144,48,16,128
160,32,16,128
176,32,8,64
184,32,8,64
176,40,8,64
184,40,4,0
160,48,16,128
176,48,8,64
184,48,8,64
176,56,8,64
184,56,8,64
192,0,16,128
192,8,16,128
208,0,8,64
216,0,8,64
208,8,8,64
216,8,8,64
192,16,4,0
200,16,8,64
192,24,8,64
200,24,8,64
208,16,8,64
216,16,8,64
208,24,8,64
216,24,8,64
224,0,16,128
240,0,8,64
248,0,4,0
240,8,8,64
248,8,8,64
224,16,8,64
232,16,4,0
224,24,8,64
232,24,8,64
240,16,8,64
248,16,8,64
240,24,8,64
248,24,8,64
192,32,32,192
224,32,32,192
256,0,32,192
288,0,16,128
304,0,8,64
312,0,8,64
304,8,8,64
312,8,8,64
288,16,16,128
288,24,16,128
304,16,8,64
312,16,8,64
304,24,8,64
312,24,8,64
256,32,16,128
272,32,16,128
256,48,16,128
272,48,8,64
280,48,8,64
272,56,8,64
280,56,8,64
288,32,8,64
296,32,4,0
288,40,8,64
296,40,8,64
304,32,16,128
288,48,8,64
296,48,4,0
288,56,8,64
296,56,8,64
304,48,16,128
312,48,16,128
320,0,16,128
336,0,4,0
344,0,8,64
336,8,8,64
344,8,8,64
320,16,8,64
328,16,8,64
320,24,8,64
328,24,8,64
336,16,8,64
344,16,8,64
336,24,8,64
344,24,8,64
352,0,8,64
360,0,8,64
352,8,8,64
360,8,4,0
368,0,16,128
352,16,8,64
360,16,8,64
352,24,8,64
360,24,8,64
368,16,8,64
376,16,8,64
368,24,8,64
376,24,8,64
320,32,32,192
352,32,16,128
368,32,8,64
376,32,8,64
368,40,8,64
376,40,4,0
352,48,8,64
360,48,4,0
352,56,8,64
360,56,8,64
368,48,8,64
376,48,8,64
368,56,8,64
376,56,8,64
384,0,16,128
400,0,8,64
408,0,8,64
400,8,8,64
408,8,8,64
384,16,8,64
392,16,8,64
384,24,8,64
392,24,8,64
400,16,8,64
408,16,8,64
400,24,8,64
408,24,8,64
416,0,32,192
384,32,32,192
416,32,8,64
424,32,8,64
416,40,8,64
424,40,8,64
432,32,8,64
440,32,8,64
432,40,8,64
440,40,8,64
416,48,8,64
424,48,8,64
416,56,8,64
424,56,8,64
432,48,8,64
440,48,8,64
432,56,8,64
440,56,8,64
448,0,16,128
448,8,16,128
464,0,8,64
472,0,8,64
464,8,8,64
472,8,8,64
448,16,8,64
456,16,8,64
448,24,8,64
456,24,4,0
464,16,8,64
472,16,8,64
464,24,8,64
472,24,4,0
480,0,4,0
488,0,8,64
480,8,8,64
488,8,8,64
496,0,16,128
496,8,16,128
480,16,8,64
488,16,8,64
480,24,8,64
488,24,8,64
496,16,8,64
504,16,8,64
496,24,8,64
504,24,8,64
448,32,4,0
456,32,8,64
448,40,8,64
456,40,4,0
464,32,16,128
448,48,8,64
456,48,8,64
448,56,8,64
456,56,8,64
464,48,8,64
472,48,4,0
464,56,8,64
472,56,8,64
480,32,8,64
488,32,4,0
480,40,8,64
488,40,8,64
496,32,8,64
504,32,8,64
496,40,8,64
504,40,8,64
480,48,8,64
488,48,8,64
480,56,8,64
488,56,8,64
496,48,16,128
496,56,16,128
512,0,16,128
528,0,16,128
512,16,8,64
520,16,8,64
512,24,8,64
520,24,8,64
528,16,8,64
536,16,8,64
528,24,8,64
536,24,8,64
544,0,8,64
552,0,8,64
544,8,4,0
552,8,4,0
560,0,16,128
544,16,8,64
552,16,8,64
544,24,4,0
552,24,8,64
560,16,8,64
568,16,4,0
560,24,8,64
568,24,4,0
512,32,16,128
528,32,8,64
536,32,8,64
528,40,4,0
536,40,8,64
512,48,8,64
520,48,8,64
512,56,8,64
520,56,4,0
528,48,8,64
536,48,4,0
528,56,8,64
536,56,4,0
544,32,8,64
552,32,8,64
544,40,8,64
552,40,8,64
560,32,8,64
568,32,8,64
560,40,8,64
568,40,4,0
544,48,8,64
552,48,8,64
544,56,4,0
552,56,8,64
560,48,8,64
568,48,8,64
560,56,4,0
568,56,8,64
576,0,8,64
584,0,8,64
576,8,8,64
584,8,8,64
592,0,16,128
576,16,8,64
584,16,4,0
576,24,4,0
584,24,4,0
592,16,16,128
592,24,16,128
608,0,8,64
616,0,8,64
608,8,8,64
616,8,8,64
624,0,16,128
624,8,16,128
608,16,8,64
616,16,8,64
608,24,8,64
616,24,8,64
624,16,8,64
632,16,4,0
624,24,8,64
632,24,8,64
576,32,4,0
584,32,8,64
576,40,8,64
584,40,4,0
592,32,8,64
600,32,8,64
592,40,4,0
600,40,4,0
576,48,4,0
584,48,8,64
576,56,8,64
584,56,8,64
592,48,8,64
600,48,8,64
592,56,8,64
600,56,8,64
608,32,8,64
616,32,4,0
608,40,4,0
616,40,8,64
624,32,8,64
632,32,8,64
624,40,4,0
632,40,4,0
608,48,8,64
616,48,8,64
608,56,8,64
616,56,8,64
624,48,8,64
632,48,8,64
624,56,8,64
632,56,8,64
640,0,32,192
672,0,32,192
640,32,8,64
648,32,8,64
640,40,4,0
648,40,4,0
656,32,16,128
640,48,4,0
648,48,8,64
640,56,4,0
648,56,8,64
656,48,8,64
664,48,4,0
656,56,4,0
664,56,4,0
672,32,32,192
704,0,32,192
736,0,8,64
744,0,8,64
736,8,8,64
744,8,8,64
752,0,8,64
760,0,4,0
752,8,8,64
760,8,8,64
736,16,8,64
744,16,4,0
736,24,8,64
744,24,4,0
752,16,4,0
760,16,8,64
752,24,4,0
760,24,8,64
704,32,32,192
736,32,8,64
744,32,4,0
736,40,8,64
744,40,8,64
752,32,8,64
760,32,8,64
752,40,8,64
760,40,8,64
736,48,16,128
752,48,4,0
760,48,4,0
752,56,4,0
760,56,4,0
768,0,8,64
776,0,8,64
768,8,8,64
776,8,8,64
784,0,16,128
768,16,8,64
776,16,8,64
768,24,4,0
776,24,4,0
784,16,8,64
792,16,8,64
784,24,8,64
792,24,4,0
800,0,16,128
800,8,16,128
816,0,16,128
800,16,8,64
808,16,8,64
800,24,8,64
808,24,8,64
816,16,16,128
768,32,8,64
776,32,4,0
768,40,4,0
776,40,4,0
784,32,4,0
792,32,4,0
784,40,8,64
792,40,8,64
768,48,16,128
784,48,4,0
792,48,4,0
784,56,8,64
792,56,8,64
800,32,8,64
808,32,8,64
800,40,4,0
808,40,4,0
816,32,8,64
824,32,8,64
816,40,4,0
824,40,8,64
800,48,8,64
808,48,8,64
800,56,4,0
808,56,8,64
816,48,16,128
832,0,16,128
848,0,16,128
832,16,16,128
848,16,16,128
848,24,16,128
864,0,16,128
880,0,16,128
864,16,16,128
880,16,16,128
880,24,16,128
832,32,16,128
848,32,16,128
832,48,8,64
840,48,8,64
832,56,8,64
840,56,4,0
848,48,16,128
848,56,16,128
864,32,32,192
896,0,16,128
912,0,16,128
896,16,16,128
912,16,16,128
928,0,16,128
944,0,16,128
928,16,16,128
944,16,16,128
896,32,32,192
928,32,32,192
928,48,32,192
960,0,16,128
976,0,16,128
960,16,16,128
976,16,16,128
992,0,32,192
960,32,32,192
992,32,16,128
1008,32,16,128
992,48,16,128
1008,48,16,128
1024,0,16,128
1040,0,16,128
1040,8,16,128
1024,16,16,128
1040,16,16,128
1048,16,16,128
1056,0,32,192
1024,32,16,128
1040,32,16,128
1048,32,16,128
1024,48,16,128
1040,48,16,128
1056,32,32,192
1056,48,32,192
1088,0,16,128
1104,0,8,64
1112,0,4,0
1104,8,8,64
1112,8,4,0
1088,16,16,128
1104,16,16,128
1104,24,16,128
1120,0,8,64
1128,0,8,64
1120,8,8,64
1128,8,4,0
1136,0,16,128
1120,16,16,128
1128,16,16,128
1136,16,8,64
1144,16,4,0
1136,24,8,64
1144,24,8,64
1088,32,8,64
1096,32,8,64
1088,40,8,64
1096,40,8,64
1104,32,16,128
1104,40,16,128
1088,48,16,128
1104,48,16,128
1120,32,8,64
1128,32,8,64
1120,40,8,64
1128,40,8,64
1136,32,8,64
1144,32,8,64
1136,40,8,64
1144,40,8,64
1120,48,8,64
1128,48,8,64
1120,56,8,64
1128,56,8,64
1136,48,4,0
1144,48,8,64
1136,56,8,64
1144,56,4,0
1152,0,8,64
1160,0,8,64
1152,8,8,64
1160,8,8,64
1168,0,8,64
1176,0,8,64
1168,8,4,0
1176,8,8,64
1152,16,16,128
1152,24,16,128
1168,16,16,128
1184,0,32,192
1200,0,32,192
1152,32,16,128
1160,32,16,128
1168,32,16,128
1152,48,8,64
1160,48,4,0
1152,56,8,64
1160,56,8,64
1168,48,8,64
1176,48,8,64
1168,56,8,64
1176,56,8,64
1184,32,16,128
1200,32,8,64
1208,32,8,64
1200,40,4,0
1208,40,8,64
1184,48,8,64
1192,48,8,64
1184,56,8,64
1192,56,8,64
1200,48,8,64
1208,48,8,64
1200,56,8,64
1208,56,8,64
1216,0,16,128
1232,0,16,128
1232,8,16,128
1216,16,16,128
1232,16,8,64
1240,16,8,64
1232,24,8,64
1240,24,8,64
1248,0,16,128
1264,0,16,128
1248,16,8,64
1256,16,8,64
1248,24,8,64
1256,24,8,64
1264,16,8,64
1272,16,8,64
1264,24,8,64
1272,24,8,64
1216,32,16,128
1232,32,8,64
1240,32,8,64
1232,40,8,64
1240,40,8,64
1216,48,16,128
1232,48,16,128
1248,32,4,0
1256,32,4,0
1248,40,4,0
1256,40,4,0
1264,32,8,64
1272,32,8,64
1264,40,8,64
1272,40,8,64
1248,48,8,64
1256,48,8,64
1248,56,8,64
1256,56,8,64
1264,48,8,64
1272,48,8,64
1264,56,8,64
1272,56,8,64
0,64,8,64
8,64,8,64
0,72,8,64
